day,side,entry_et,exit_et,held_s,reason,points,pnl
2026-06-23,short,13:30:45,13:30:51,5.8,stop,-5.0,-105.0
2026-06-23,long,13:31:00,13:31:15,15.0,jev,-2.5,-55.0
2026-06-23,short,13:31:15,13:31:32,17.3,target,10.0,195.0
2026-06-23,long,13:31:45,13:32:00,15.0,jev,0.5,5.0
2026-06-23,short,13:32:00,13:32:03,3.7,stop,-5.0,-105.0
2026-06-23,short,13:32:15,13:32:22,7.5,stop,-5.0,-105.0
2026-06-23,long,13:32:30,13:32:40,10.7,target,10.0,195.0
2026-06-23,long,13:32:45,13:33:01,16.3,target,10.0,195.0
2026-06-23,long,13:33:15,13:33:16,1.4,stop,-5.0,-105.0
2026-06-23,short,13:33:30,13:33:45,15.0,jev,1.25,20.0
2026-06-23,long,13:33:45,13:34:04,19.2,stop,-5.0,-105.0
2026-06-23,short,13:34:15,13:34:27,12.0,stop,-5.0,-105.0
2026-06-23,long,13:34:30,13:34:41,11.2,target,10.0,195.0
2026-06-23,long,13:34:45,13:35:07,21.8,target,10.0,195.0
2026-06-23,long,13:35:15,13:35:19,4.0,stop,-5.0,-105.0
2026-06-23,long,13:35:30,13:35:30,0.6,stop,-5.0,-105.0
2026-06-23,short,13:35:45,13:35:47,1.9,stop,-5.25,-110.0
2026-06-23,long,13:36:00,13:36:12,12.3,stop,-5.0,-105.0
2026-06-23,short,13:36:15,13:36:19,4.3,stop,-5.25,-110.0
2026-06-23,long,13:36:30,13:36:36,6.6,stop,-5.0,-105.0
2026-06-23,short,13:36:45,13:36:51,6.3,stop,-5.0,-105.0
2026-06-23,long,13:37:00,13:37:16,16.5,stop,-5.0,-105.0
2026-06-23,short,13:37:30,13:37:34,4.2,target,10.0,195.0
2026-06-23,short,13:37:45,13:38:29,44.5,target,10.0,195.0
2026-06-23,short,13:38:30,13:38:39,9.0,stop,-5.0,-105.0
2026-06-23,short,13:38:45,13:38:52,7.5,stop,-5.0,-105.0
2026-06-23,short,13:39:15,13:40:15,60.0,jev,5.0,95.0
2026-06-23,long,13:40:15,13:40:18,3.3,stop,-5.0,-105.0
2026-06-23,long,13:40:30,13:40:33,2.9,stop,-5.0,-105.0
2026-06-23,short,13:40:45,13:41:04,19.0,target,10.0,195.0
2026-06-23,short,13:41:15,13:41:27,12.3,stop,-5.0,-105.0
2026-06-23,short,13:41:30,13:41:44,14.1,stop,-5.0,-105.0
2026-06-23,short,13:41:45,13:42:05,20.2,target,10.0,195.0
2026-06-23,short,13:42:15,13:43:00,45.1,jev,-1.75,-40.0
2026-06-23,long,13:43:00,13:43:43,42.9,stop,-5.0,-105.0
2026-06-23,short,13:43:45,13:44:39,54.4,stop,-5.0,-105.0
2026-06-23,long,13:44:45,13:44:58,12.8,stop,-5.0,-105.0
2026-06-23,short,13:45:00,13:45:11,11.3,stop,-5.0,-105.0
2026-06-23,short,13:45:15,13:45:22,7.1,stop,-5.0,-105.0
2026-06-23,long,13:45:30,13:45:45,14.9,jev,-0.25,-10.0
2026-06-23,short,13:45:45,13:46:17,32.8,target,10.0,195.0
2026-06-23,short,13:46:30,13:47:22,52.3,target,10.0,195.0
2026-06-23,short,13:47:30,13:48:00,30.0,jev,-1.75,-40.0
2026-06-23,long,13:48:00,13:48:06,6.2,stop,-5.25,-110.0
2026-06-23,short,13:48:15,13:48:26,11.5,stop,-5.0,-105.0
2026-06-23,long,13:48:30,13:48:45,15.0,jev,-2.75,-60.0
2026-06-23,short,13:48:45,13:48:51,6.3,stop,-5.25,-110.0
2026-06-23,short,13:49:00,13:49:01,1.5,stop,-5.0,-105.0
2026-06-23,long,13:49:15,13:49:47,32.7,stop,-5.0,-105.0
2026-06-23,short,13:50:00,13:50:13,13.0,target,10.0,195.0
2026-06-23,short,13:50:15,13:51:08,52.9,target,10.0,195.0
2026-06-23,short,13:51:15,13:51:25,10.6,stop,-5.0,-105.0
2026-06-23,long,13:51:30,13:51:45,14.9,jev,0.5,5.0
2026-06-23,short,13:51:45,13:52:35,50.1,target,10.0,195.0
2026-06-23,short,13:52:45,13:53:16,31.1,target,10.0,195.0
2026-06-23,short,13:53:30,13:54:02,32.3,target,10.0,195.0
2026-06-23,long,13:54:15,13:54:16,1.8,stop,-5.0,-105.0
2026-06-23,short,13:54:30,13:54:37,7.3,target,10.0,195.0
2026-06-23,short,13:54:45,13:54:52,6.8,stop,-5.0,-105.0
2026-06-23,short,13:55:00,13:55:07,7.5,stop,-5.0,-105.0
2026-06-23,long,13:55:15,13:55:16,1.1,stop,-5.0,-105.0
2026-06-23,short,13:55:30,13:55:41,11.7,target,10.0,195.0
2026-06-23,short,13:55:45,13:55:50,5.2,stop,-5.0,-105.0
2026-06-23,long,13:56:00,13:56:02,1.9,stop,-5.0,-105.0
2026-06-23,short,13:56:15,13:56:20,4.9,stop,-5.25,-110.0
2026-06-23,short,13:56:30,13:56:31,1.3,stop,-5.0,-105.0
2026-06-23,short,13:56:45,13:57:01,16.1,stop,-5.25,-110.0
2026-06-23,long,13:57:15,13:57:16,0.8,stop,-5.0,-105.0
2026-06-23,short,13:57:30,13:57:31,1.7,stop,-5.0,-105.0
2026-06-23,long,13:57:45,13:58:00,15.0,jev,1.5,25.0
2026-06-23,short,13:58:00,13:58:03,3.4,stop,-5.0,-105.0
2026-06-23,short,13:58:15,13:58:30,15.0,jev,-0.75,-20.0
2026-06-23,long,13:58:30,13:58:40,10.1,stop,-5.0,-105.0
2026-06-23,short,13:58:45,13:59:05,20.0,stop,-5.0,-105.0
2026-06-23,long,13:59:15,13:59:30,15.0,jev,-3.25,-70.0
2026-06-23,short,13:59:30,14:00:03,32.8,target,10.0,195.0
2026-06-23,short,14:00:15,14:00:22,6.8,stop,-5.0,-105.0
2026-06-23,long,14:00:30,14:00:35,5.6,stop,-5.0,-105.0
2026-06-23,long,14:00:45,14:00:59,14.7,target,10.0,195.0
2026-06-23,long,14:01:00,14:01:03,2.8,stop,-5.0,-105.0
2026-06-23,long,14:01:15,14:01:16,1.6,stop,-5.0,-105.0
